account_id,loan_amount,outstanding_amount,days_past_due,customer_location,income_band,payment_history,contact_attempts,last_channel,last_outcome,assigned_channel,recovery_amount
SFL100000,88113,70212,206,Tier 1,Low,Average,4,Call,Promised,Legal,0
SFL100001,37696,19902,133,Tier 2,Low,Average,1,Legal,Paid,Field,16316
SFL100002,22601,17449,446,Tier 3,Low,Average,2,Call,Refused,Call,0
SFL100003,34867,16766,697,Tier 3,Low,Good,2,Legal,Refused,Legal,0
SFL100004,69935,51102,243,Tier 2,Medium,Average,10,Field,Promised,Field,0
SFL100005,276729,153774,321,Tier 1,High,Poor,5,Call,Refused,Call,0
SFL100006,69809,25920,49,Tier 3,Medium,Poor,3,Legal,Refused,Field,0
SFL100007,67541,45937,35,Tier 2,Medium,Average,8,Field,No Response,Field,0
SFL100008,68957,44600,4,Tier 2,Medium,Good,3,Call,Promised,Field,33125
SFL100009,322816,149402,81,Tier 2,Medium,Average,4,Call,Refused,Field,48452
SFL100010,28254,17234,28,Tier 3,High,Poor,4,Field,Refused,Call,5088
SFL100011,1173268,709658,74,Tier 2,High,Average,3,Call,Refused,Field,251158
SFL100012,421850,294735,487,Tier 2,Medium,Good,1,Field,Paid,Legal,0
SFL100013,30720,28337,3,Tier 1,Low,Poor,1,Field,Refused,Field,0
SFL100014,79102,59126,174,Tier 3,Medium,Good,2,Field,Paid,Field,54576
SFL100015,37759,32309,30,Tier 2,Medium,Average,1,Call,No Response,Field,14709
SFL100016,391833,353543,121,Tier 2,High,Poor,13,Field,Refused,Call,0
SFL100017,71001,40886,248,Tier 1,High,Poor,4,Field,Promised,Call,10799
SFL100018,1160892,565370,704,Tier 1,High,Good,4,Field,Promised,Call,445678
SFL100019,56450,33427,158,Tier 1,Medium,Average,6,Field,Promised,Field,0
SFL100020,53576,49828,112,Tier 3,Low,Average,6,Field,No Response,Legal,0
SFL100021,223786,144421,203,Tier 1,Low,Good,5,Field,Paid,Field,89829
SFL100022,77908,69968,79,Tier 3,Medium,Good,10,Field,Refused,Legal,0
SFL100023,339650,199006,58,Tier 1,Medium,Poor,5,Field,No Response,Call,0
SFL100024,19884,9046,117,Tier 2,Low,Average,5,Call,Promised,Legal,0
